Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2013-04-28;Nice;3–1;Troyes;Relatório da Partida;2012;3;1
2013-04-28;Lyon;1–1;Saint-Étienne;Relatório da Partida;2012;1;1
2013-05-03;Saint-Étienne;0–0;Bordeaux;Relatório da Partida;2012;0;0
2013-05-04;Troyes;1–0;Evian;Relatório da Partida;2012;1;0
2013-05-04;Sochaux;1–0;Lorient;Relatório da Partida;2012;1;0
2013-05-04;Reims;1–1;Ajaccio;Relatório da Partida;2012;1;1
2013-05-04;Toulouse;4–2;Lille;Relatório da Partida;2012;4;2
2013-05-04;Montpellier;2–1;Brest;Relatório da Partida;2012;2;1
2013-05-04;Marseille;2–1;Bastia;Relatório da Partida;2012;2;1
2013-05-05;Nancy;0–3;Lyon;Relatório da Partida;2012;0;3
2013-05-05;Rennes;0–3;Nice;Relatório da Partida;2012;0;3
2013-05-05;Paris S-G;1–1;Valenciennes;Relatório da Partida;2012;1;1
2013-05-10;Lille;3–0;Reims;Relatório da Partida;2012;3;0
2013-05-11;Valenciennes;4–1;Rennes;Relatório da Partida;2012;4;1
2013-05-11;Bastia;3–1;Montpellier;Relatório da Partida;2012;3;1
2013-05-11;Bordeaux;3–2;Nancy;Relatório da Partida;2012;3;2
2013-05-11;Marseille;2–1;Toulouse;Relatório da Partida;2012;2;1
2013-05-11;Brest;0–2;Sochaux;Relatório da Partida;2012;0;2
2013-05-11;Ajaccio;0–1;Troyes;Relatório da Partida;2012;0;1
2013-05-12;Lyon;0–1;Paris S-G;Relatório da Partida;2012;0;1
2013-05-12;Evian;4–0;Nice;Relatório da Partida;2012;4;0
2013-05-12;Lorient;3–1;Saint-Étienne;Relatório da Partida;2012;3;1
2013-05-18;Paris S-G;3–1;Brest;Relatório da Partida;2012;3;1
2013-05-18;Rennes;1–1;Ajaccio;Relatório da Partida;2012;1;1
2013-05-18;Reims;1–0;Lorient;Relatório da Partida;2012;1;0
2013-05-18;Montpellier;0–0;Lille;Relatório da Partida;2012;0;0
2013-05-18;Evian;2–0;Valenciennes;Relatório da Partida;2012;2;0
2013-05-18;Nancy;1–2;Bastia;Relatório da Partida;2012;1;2
2013-05-18;Sochaux;1–2;Toulouse;Relatório da Partida;2012;1;2
2013-05-18;Saint-Étienne;2–0;Marseille;Relatório da Partida;2012;2;0
2013-05-18;Troyes;1–0;Bordeaux;Relatório da Partida;2012;1;0
2013-05-19;Nice;1–1;Lyon;Relatório da Partida;2012;1;1
2013-05-26;Valenciennes;2–1;Troyes;Relatório da Partida;2012;2;1
2013-05-26;Lorient;1–3;Paris S-G;Relatório da Partida;2012;1;3
2013-05-26;Bastia;0–0;Sochaux;Relatório da Partida;2012;0;0
2013-05-26;Ajaccio;0–2;Nice;Relatório da Partida;2012;0;2
2013-05-26;Marseille;0–0;Reims;Relatório da Partida;2012;0;0
2013-05-26;Toulouse;2–0;Montpellier;Relatório da Partida;2012;2;0
2013-05-26;Lyon;2–0;Rennes;Relatório da Partida;2012;2;0
2013-05-26;Lille;1–1;Saint-Étienne;Relatório da Partida;2012;1;1
2013-05-26;Bordeaux;2–1;Evian;Relatório da Partida;2012;2;1
2013-05-26;Brest;1–2;Nancy;Relatório da Partida;2012;1;2
