Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
14,qui,2020-10-08,21:00,Bragantino,0.7,0–2,0.7,Internacional,,Estádio Nabi Abi Chedid,Felipe Fernandes de Lima,Relatório da Partida,
,,,,,,,,,,,,,
15,sáb,2020-10-10,17:00,Vasco da Gama,1.3,1–2,0.6,Flamengo,,Estádio Club de Regatas Vasco da Gama,Flavio Rodrigues De Souza,Relatório da Partida,
15,sáb,2020-10-10,19:00,Coritiba,1.0,0–0,1.4,Fortaleza,,Estádio Major Antônio Couto Pereira,Ricardo Marques Ribeiro,Relatório da Partida,
15,sáb,2020-10-10,19:00,Palmeiras,0.5,0–2,1.9,São Paulo,,Allianz Parque,Leandro Pedro Vuaden,Relatório da Partida,
15,dom,2020-10-11,16:00,Fluminense,1.1,1–0,0.6,Bahia,,Estadio Jornalista Mário Filho,Jose Mendonca da Silva Junior,Relatório da Partida,
15,dom,2020-10-11,16:00,Santos,2.1,2–1,0.6,Grêmio,,Estádio Urbano Caldeira,Braulio da Silva Machado,Relatório da Partida,
15,dom,2020-10-11,18:15,Atl Goianiense,2.1,2–1,1.6,Bragantino,,Estádio Olímpico Pedro Ludovico Teixeira,Heber Roberto Lopes,Relatório da Partida,
15,dom,2020-10-11,18:15,Sport Recife,1.2,1–2,1.4,Botafogo (RJ),,Estádio Adelmar da Costa Carvalho,Rodrigo D'Alonso Ferreira,Relatório da Partida,
15,dom,2020-10-11,20:30,Internacional,1.8,2–1,2.0,Atl Paranaense,,Estádio José Pinheiro Borba,Bruno Arleu de Araujo,Relatório da Partida,
15,dom,2020-10-11,20:30,Ceará,2.2,2–1,0.8,Corinthians,,Estádio Castelão,Anderson Daronco,Relatório da Partida,
15,sáb,2020-10-10,21:00,Atlético Mineiro,2.9,3–0,0.2,Goiás,,Estádio Raimundo Sampaio,Vinicius Gonçalves Dias Araujo,Relatório da Partida,
,,,,,,,,,,,,,
11,ter,2020-10-13,18:00,Flamengo,3.0,2–1,0.3,Goiás,,Estadio Jornalista Mário Filho,Paulo Roberto Alves Júnior,Relatório da Partida,
,,,,,,,,,,,,,
16,qua,2020-10-14,18:00,Palmeiras,1.7,1–3,2.2,Coritiba,,Allianz Parque,Jefferson Ferreira de Moraes,Relatório da Partida,
16,qua,2020-10-14,19:15,Grêmio,1.8,3–1,1.9,Botafogo (RJ),,Arena do Grêmio,Luiz Flávio de Oliveira,Relatório da Partida,
16,qua,2020-10-14,20:30,Santos,1.0,0–1,1.1,Atl Goianiense,,Estádio Urbano Caldeira,Igor Junior Benevenuto,Relatório da Partida,
16,qui,2020-10-15,20:00,Flamengo,2.0,1–1,1.0,Bragantino,,Estadio Jornalista Mário Filho,Daniel Nobre Bins,Relatório da Partida,
16,qua,2020-10-14,21:30,Atl Paranaense,1.0,0–1,1.5,Corinthians,,Estádio Joaquim Américo Guimarães,Savio Pereira,Relatório da Partida,
16,qua,2020-10-14,21:30,Sport Recife,1.6,3–5,1.6,Internacional,,Estádio Adelmar da Costa Carvalho,Wagner do Nascimento Magalhaes,Relatório da Partida,
16,qua,2020-10-14,21:30,Atlético Mineiro,2.2,1–1,0.7,Fluminense,,Estádio Raimundo Sampaio,Raphael Claus,Relatório da Partida,
16,sex,2020-10-16,20:00,Goiás,1.2,1–1,1.3,Bahia,,Estádio de Hailé Pinheiro,Rodrigo Carvalhaes de Miranda,Relatório da Partida,
,,,,,,,,,,,,,
17,sáb,2020-10-17,19:00,Coritiba,1.2,1–2,1.5,Santos,,Estádio Major Antônio Couto Pereira,Bruno Arleu de Araujo,Relatório da Partida,
17,sáb,2020-10-17,19:00,Fluminense,0.8,2–2,1.5,Ceará,,Estadio Jornalista Mário Filho,Gilberto Rodrigues Castro Junior,Relatório da Partida,
17,sáb,2020-10-17,19:00,Atl Goianiense,1.0,1–1,2.2,Atl Paranaense,,Estádio Olímpico Pedro Ludovico Teixeira,Pablo Ramón Goncalves Pinheiro,Relatório da Partida,
17,dom,2020-10-18,16:00,Corinthians,1.0,1–5,2.4,Flamengo,,Arena Corinthians,Leandro Pedro Vuaden,Relatório da Partida,
17,dom,2020-10-18,18:15,Internacional,2.0,2–0,0.4,Vasco da Gama,,Estádio José Pinheiro Borba,Braulio da Silva Machado,Relatório da Partida,
17,dom,2020-10-18,20:30,Fortaleza,1.4,2–0,1.0,Palmeiras,,Estádio Castelão,Marcelo de Lima Henrique,Relatório da Partida,
17,dom,2020-10-18,20:30,Bragantino,1.1,2–0,0.1,Sport Recife,,Estádio Nabi Abi Chedid,Ricardo Marques Ribeiro,Relatório da Partida,
17,sáb,2020-10-17,21:00,São Paulo,0.4,0–0,1.0,Grêmio,,Estádio do Morumbi,Rafael Traci,Relatório da Partida,
17,seg,2020-10-19,20:00,Bahia,3.2,3–1,2.0,Atlético Mineiro,,Estádio Governador Roberto Santos,Anderson Daronco,Relatório da Partida,
17,seg,2020-10-19,20:00,Botafogo (RJ),1.3,0–0,0.6,Goiás,,Estádio Nilton Santos,Edina Alves Batista,Relatório da Partida,
,,,,,,,,,,,,,
18,qua,2020-10-21,21:30,Vasco da Gama,2.0,1–2,2.1,Corinthians,,Estádio Club de Regatas Vasco da Gama,Caio Max Augusto Vieira,Relatório da Partida,
