Rodada,Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Oitavas de final,,ter,2022-02-15,21:00 (17:00),Paris S-G fr,2.4,1–0,0.3,es Real Madrid,47.443,Parc des Princes,Daniele Orsato,Relatório da Partida,Jogo de ida/volta 1 de 2
Oitavas de final,,qua,2022-02-16,21:00 (17:00),RB Salzburg at,1.1,1–1,2.3,de Bayern Munich,29.520,Red Bull Arena,Michael Oliver,Relatório da Partida,Jogo de ida/volta 1 de 2
Oitavas de final,,qua,2022-02-16,21:00 (17:00),Inter it,0.6,0–2,1.0,eng Liverpool,37.918,Stadio Giuseppe Meazza,Szymon Marciniak,Relatório da Partida,Jogo de ida/volta 1 de 2
Oitavas de final,,ter,2022-02-22,20:00 (17:00),Chelsea eng,1.2,2–0,0.8,fr Lille,38.832,Stamford Bridge,Jesús Gil,Relatório da Partida,Jogo de ida/volta 1 de 2
Oitavas de final,,ter,2022-02-22,21:00 (17:00),Villarreal es,1.3,1–1,0.7,it Juventus,17.686,Estadio de la Cerámica,Daniel Siebert,Relatório da Partida,Jogo de ida/volta 1 de 2
Oitavas de final,,qua,2022-02-23,20:00 (17:00),Benfica pt,2.0,2–2,2.4,nl Ajax,54.760,Estádio do Sport Lisboa e Benfica,Slavko Vinčič,Relatório da Partida,Jogo de ida/volta 1 de 2
Oitavas de final,,qua,2022-02-23,21:00 (17:00),Atlético Madrid es,1.3,1–1,0.6,eng Manchester Utd,63.273,Estadio Wanda Metropolitano,Ovidiu Hațegan,Relatório da Partida,Jogo de ida/volta 1 de 2
Oitavas de final,,ter,2022-03-08,20:00 (17:00),Liverpool eng,1.8,0–1,0.5,it Inter,51.747,Anfield,Antonio Matéu Lahoz,Relatório da Partida,Jogo de ida/volta 2 de 2; Liverpool venceu
Oitavas de final,,ter,2022-03-08,21:00 (17:00),Bayern Munich de,4.2,7–1,0.7,at RB Salzburg,25.000,Allianz Arena,Clément Turpin,Relatório da Partida,Jogo de ida/volta 2 de 2; Bayern Munich venceu
Oitavas de final,,qua,2022-03-09,20:00 (17:00),Manchester City eng,1.5,0–0,0.8,pt Sporting CP,51.213,Etihad Stadium,Halil Umut Meler,Relatório da Partida,Jogo de ida/volta 2 de 2; Manchester City venceu
