Rodada,Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas,,
Temporada regular,10,dom,2021-10-17,15:00 (10:00),Bordeaux,0.8,1–1,1.1,Nantes,39510,Stade Matmut-Atlantique,Willy Delajod,Relatório da Partida,,,
Temporada regular,10,dom,2021-10-17,15:00 (10:00),Metz,0.9,0–3,2.1,Rennes,15679,Stade Saint-Symphorien,Benoît Millot,Relatório da Partida,,,
Temporada regular,10,dom,2021-10-17,15:00 (10:00),Strasbourg,2.2,5–1,1.0,Saint-Étienne,25371,Stade de la Meinau,Mikael Lesage,Relatório da Partida,,,
Temporada regular,10,dom,2021-10-17,17:00 (12:00),Montpellier,1.8,1–0,1.3,Lens,12474,Stade de la Mosson,Florent Batta,Relatório da Partida,,,
Temporada regular,10,dom,2021-10-17,20:45 (15:45),Marseille,2.3,4–1,2.4,Lorient,57349,Orange Vélodrome,Antony Gautier,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,11,sex,2021-10-22,21:00 (16:00),Saint-Étienne,1.7,2–2,0.7,Angers,19836,Stade Geoffroy-Guichard,Antony Gautier,Relatório da Partida,,,
Temporada regular,11,sáb,2021-10-23,17:00 (12:00),Nantes,1.2,2–1,0.8,Clermont Foot,19968,Stade de la Beaujoire - Louis Fonteneau,Romain Lissorgue,Relatório da Partida,,,
Temporada regular,11,sáb,2021-10-23,21:00 (16:00),Lille,1.7,1–1,1.2,Brest,32613,Stade Pierre-Mauroy,Clément Turpin,Relatório da Partida,,,
Temporada regular,11,dom,2021-10-24,13:00 (08:00),Nice,2.7,3–2,1.3,Lyon,24519,Stade de Nice,Jérôme Brisard,Relatório da Partida,,,
Temporada regular,11,dom,2021-10-24,15:00 (10:00),Rennes,1.4,1–0,0.8,Strasbourg,27185,Roazhon Park,Stéphanie Frappart,Relatório da Partida,,,
Temporada regular,11,dom,2021-10-24,15:00 (10:00),Lens,1.9,4–1,0.8,Metz,35673,Stade Bollaert-Delelis,Jérémie Pignard,Relatório da Partida,,,
Temporada regular,11,dom,2021-10-24,15:00 (10:00),Lorient,1.3,1–1,1.3,Bordeaux,11678,Stade Yves Allainmat - Le Moustoir,Thomas Léonard,Relatório da Partida,,,
Temporada regular,11,dom,2021-10-24,15:00 (10:00),Reims,1.0,1–2,1.0,Troyes,12326,Stade Auguste-Delaune II,Pierre Gaillouste,Relatório da Partida,,,
Temporada regular,11,dom,2021-10-24,17:00 (12:00),Monaco,1.4,3–1,1.5,Montpellier,4861,Stade Louis II.,François Letexier,Relatório da Partida,,,
Temporada regular,11,dom,2021-10-24,20:45 (15:45),Marseille,1.4,0–0,1.5,Paris S-G,65121,Orange Vélodrome,Benoît Bastien,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,3,qua,2021-10-27,21:00 (16:00),Nice,1.9,1–1,0.7,Marseille,,Stade de l'Aube,Clément Turpin,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,12,sex,2021-10-29,21:00 (16:00),Paris S-G,2.3,2–1,2.0,Lille,47874,Parc des Princes,Amaury Delerue,Relatório da Partida,,,
Temporada regular,12,sáb,2021-10-30,17:00 (12:00),Metz,0.5,1–1,0.6,Saint-Étienne,15914,Stade Saint-Symphorien,Stéphanie Frappart,Relatório da Partida,,,
Temporada regular,12,sáb,2021-10-30,21:00 (16:00),Lyon,2.3,2–1,2.3,Lens,50373,Groupama Stadium,Mikael Lesage,Relatório da Partida,,,
Temporada regular,12,dom,2021-10-31,13:00 (09:00),Angers,1.1,1–2,1.1,Nice,6788,Stade Raymond Kopa,Willy Delajod,Relatório da Partida,,,
Temporada regular,12,dom,2021-10-31,15:00 (11:00),Bordeaux,1.9,3–2,1.6,Reims,11020,Stade Matmut-Atlantique,Eric Wattellier,Relatório da Partida,,,
Temporada regular,12,dom,2021-10-31,15:00 (11:00),Troyes,2.1,2–2,1.9,Rennes,8550,Stade de l'Aube,Jeremy Stinat,Relatório da Partida,,,
Temporada regular,12,dom,2021-10-31,15:00 (11:00),Montpellier,1.3,2–0,1.1,Nantes,11267,Stade de la Mosson,Bastien Dechepy,Relatório da Partida,,,
Temporada regular,12,dom,2021-10-31,15:00 (11:00),Strasbourg,2.3,4–0,1.5,Lorient,24002,Stade de la Meinau,Florent Batta,Relatório da Partida,,,
Temporada regular,12,dom,2021-10-31,17:00 (13:00),Brest,1.4,2–0,0.5,Monaco,12463,Stade Francis-Le Blé,Johan Hamel,Relatório da Partida,,,
Temporada regular,12,dom,2021-10-31,20:45 (16:45),Clermont Foot,0.8,0–1,1.3,Marseille,12240,Stade Gabriel Montpied,Benoît Millot,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,13,sex,2021-11-05,21:00 (17:00),Lens,3.3,4–0,0.6,Troyes,35706,Stade Bollaert-Delelis,Thomas Léonard,Relatório da Partida,,,
Temporada regular,13,sáb,2021-11-06,17:00 (13:00),Lille,1.4,1–1,1.1,Angers,33305,Stade Pierre-Mauroy,François Letexier,Relatório da Partida,,,
Temporada regular,13,sáb,2021-11-06,21:00 (17:00),Bordeaux,1.2,2–3,2.0,Paris S-G,41172,Stade Matmut-Atlantique,Ruddy Buquet,Relatório da Partida,,,
Temporada regular,13,dom,2021-11-07,13:00 (09:00),Marseille,1.7,0–0,1.5,Metz,61539,Orange Vélodrome,Jérôme Brisard,Relatório da Partida,,,
Temporada regular,13,dom,2021-11-07,15:00 (11:00),Saint-Étienne,2.0,3–2,0.9,Clermont Foot,,Stade Geoffroy-Guichard,Pierre Gaillouste,Relatório da Partida,,,
Temporada regular,13,dom,2021-11-07,15:00 (11:00),Lorient,1.6,1–2,2.6,Brest,14649,Stade Yves Allainmat - Le Moustoir,Romain Lissorgue,Relatório da Partida,,,
Temporada regular,13,dom,2021-11-07,15:00 (11:00),Reims,0.5,0–0,0.9,Monaco,12080,Stade Auguste-Delaune II,Jérémie Pignard,Relatório da Partida,,,
Temporada regular,13,dom,2021-11-07,15:00 (11:00),Nantes,2.7,2–2,2.3,Strasbourg,18853,Stade de la Beaujoire - Louis Fonteneau,Clément Turpin,Relatório da Partida,,,
Temporada regular,13,dom,2021-11-07,17:00 (13:00),Nice,1.6,0–1,0.5,Montpellier,20157,Stade de Nice,Antony Gautier,Relatório da Partida,,,
Temporada regular,13,dom,2021-11-07,20:45 (16:45),Rennes,3.7,4–1,1.2,Lyon,28222,Roazhon Park,Benoît Bastien,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,14,sex,2021-11-19,21:00 (17:00),Monaco,1.6,2–2,2.4,Lille,3778,Stade Louis II.,Willy Delajod,Relatório da Partida,,,
Temporada regular,14,sáb,2021-11-20,17:00 (13:00),Paris S-G,2.0,3–1,1.5,Nantes,47777,Parc des Princes,Jeremy Stinat,Relatório da Partida,,,
Temporada regular,14,sáb,2021-11-20,21:00 (17:00),Rennes,3.5,2–0,0.4,Montpellier,27003,Roazhon Park,Mikael Lesage,Relatório da Partida,,,
Temporada regular,14,dom,2021-11-21,13:00 (09:00),Brest,1.4,4–0,1.1,Lens,12462,Stade Francis-Le Blé,Eric Wattellier,Relatório da Partida,,,
Temporada regular,14,dom,2021-11-21,15:00 (11:00),Metz,1.4,3–3,2.4,Bordeaux,16077,Stade Saint-Symphorien,Benoît Millot,Relatório da Partida,,,
Temporada regular,14,dom,2021-11-21,15:00 (11:00),Angers,1.5,1–0,0.7,Lorient,6971,Stade Raymond Kopa,Pierre Gaillouste,Relatório da Partida,,,
Temporada regular,14,dom,2021-11-21,15:00 (11:00),Troyes,1.4,0–1,1.5,Saint-Étienne,10644,Stade de l'Aube,Florent Batta,Relatório da Partida,,,
Temporada regular,14,dom,2021-11-21,15:00 (11:00),Strasbourg,2.3,1–1,1.1,Reims,24439,Stade de la Meinau,Amaury Delerue,Relatório da Partida,,,
Temporada regular,14,dom,2021-11-21,17:00 (13:00),Clermont Foot,0.9,1–2,0.8,Nice,11683,Stade Gabriel Montpied,Stéphanie Frappart,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,15,sex,2021-11-26,21:00 (17:00),Lens,1.4,2–2,1.8,Angers,35713,Stade Bollaert-Delelis,Florent Batta,Relatório da Partida,,,
Temporada regular,15,sáb,2021-11-27,17:00 (13:00),Lille,1.4,1–1,0.5,Nantes,30419,Stade Pierre-Mauroy,Johan Hamel,Relatório da Partida,,,
Temporada regular,15,sáb,2021-11-27,21:00 (17:00),Nice,1.5,0–1,0.6,Metz,17033,Stade de Nice,François Letexier,Relatório da Partida,,,
Temporada regular,15,dom,2021-11-28,13:00 (09:00),Saint-Étienne,0.9,1–3,2.6,Paris S-G,24586,Stade Geoffroy-Guichard,Jérôme Brisard,Relatório da Partida,,,
Temporada regular,15,dom,2021-11-28,15:00 (11:00),Reims,0.8,1–0,0.4,Clermont Foot,8420,Stade Auguste-Delaune II,Benoît Bastien,Relatório da Partida,,,
Temporada regular,15,dom,2021-11-28,15:00 (11:00),Lorient,0.7,0–2,1.2,Rennes,16321,Stade Yves Allainmat - Le Moustoir,Bastien Dechepy,Relatório da Partida,,,
Temporada regular,15,dom,2021-11-28,15:00 (11:00),Bordeaux,1.5,1–2,2.4,Brest,15280,Stade Matmut-Atlantique,Pierre Gaillouste,Relatório da Partida,,,
Temporada regular,15,dom,2021-11-28,15:00 (11:00),Monaco,2.0,1–1,1.1,Strasbourg,3478,Stade Louis II.,Antony Gautier,Relatório da Partida,,,
Temporada regular,15,dom,2021-11-28,17:00 (13:00),Montpellier,1.3,0–1,1.0,Lyon,14747,Stade de la Mosson,Thomas Léonard,Relatório da Partida,,,
Temporada regular,15,dom,2021-11-28,20:45 (16:45),Marseille,1.5,1–0,0.2,Troyes,,Orange Vélodrome,Jérémie Pignard,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,16,qua,2021-12-01,19:00 (15:00),Angers,1.3,1–3,3.0,Monaco,8267,Stade Raymond Kopa,Romain Lissorgue,Relatório da Partida,,,
Temporada regular,16,qua,2021-12-01,19:00 (15:00),Troyes,1.1,2–0,0.7,Lorient,6506,Stade de l'Aube,Jeremy Stinat,Relatório da Partida,,,
Temporada regular,16,qua,2021-12-01,19:00 (15:00),Strasbourg,3.0,5–2,1.1,Bordeaux,24378,Stade de la Meinau,Willy Delajod,Relatório da Partida,,,
