Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
19,sex,2004-12-17,,Lyon,1–1,Marseille,,Stade Municipal de Gerland,Claude Colombo,Relatório da Partida,
19,sáb,2004-12-18,,Caen,0–2,Toulouse,,Stade Michel d'Ornano,Damien Ledentu,Relatório da Partida,
19,sáb,2004-12-18,,Auxerre,4–3,Nice,,Stade Abbé Deschamps,Dominique Fraise,Relatório da Partida,
19,sáb,2004-12-18,,Istres,0–2,Saint-Étienne,,Stade des Costières,Hervé Piccirillo,Relatório da Partida,
19,sáb,2004-12-18,,Monaco,1–1,Bordeaux,,Stade Louis II,Bertrand Layec,Relatório da Partida,
19,sáb,2004-12-18,,Lens,2–1,Bastia,,Stade Bollaert,Stéphane Moulin,Relatório da Partida,
19,sáb,2004-12-18,,Paris S-G,3–0,Metz,,Parc des Princes,Alain Hamer,Relatório da Partida,
19,sáb,2004-12-18,,Ajaccio,0–0,Lille,,Stade François Coty,Tony Chapron,Relatório da Partida,
19,sáb,2004-12-18,,Strasbourg,1–0,Rennes,,Stade de la Meinau,Bruno Ruffray,Relatório da Partida,
19,dom,2004-12-19,,Nantes,2–2,Sochaux,,Stade de la Beaujoire,Bruno Coué,Relatório da Partida,
,,,,,,,,,,,
20,ter,2005-01-11,,Lille,1–2,Marseille,,Stadium Lille Métropole,Pascal Viléo,Relatório da Partida,
20,qua,2005-01-12,,Istres,0–1,Monaco,,STADE BARDIN,Fredy Fautrel,Relatório da Partida,
20,qua,2005-01-12,,Caen,0–0,Paris S-G,,Stade Michel d'Ornano,Gilles Veissière,Relatório da Partida,
20,qua,2005-01-12,,Rennes,1–0,Auxerre,,ROAZHON PARK,Bruno Coué,Relatório da Partida,
20,qua,2005-01-12,,Saint-Étienne,0–0,Lens,,Stade Geoffroy,Philippe Kalt,Relatório da Partida,
20,qua,2005-01-12,,Toulouse,2–0,Strasbourg,,Stadium,Olivier Thual,Relatório da Partida,
20,qua,2005-01-12,,Nice,3–3,Bordeaux,,Allianz Riviera,Patrick Lhermite,Relatório da Partida,
20,qua,2005-01-12,,Metz,1–0,Ajaccio,,Stade Saint,Dominique Fraise,Relatório da Partida,
20,qua,2005-01-12,,Sochaux,0–2,Lyon,,Stade Bonal,Alain Hamer,Relatório da Partida,
20,qua,2005-01-12,,Bastia,0–0,Nantes,,Stade Armand Cesari,Bruno Ruffray,Relatório da Partida,
,,,,,,,,,,,
21,sáb,2005-01-15,,Strasbourg,1–1,Saint-Étienne,,Stade de la Meinau,Alain Sars,Relatório da Partida,
21,sáb,2005-01-15,,Monaco,5–2,Caen,,Stade Louis II,Stéphane Lannoy,Relatório da Partida,
21,sáb,2005-01-15,,Bordeaux,1–3,Lille,,Stade Chaban,Claude Colombo,Relatório da Partida,
21,sáb,2005-01-15,,Nantes,2–0,Rennes,,Stade de la Beaujoire,Thierry Auriac,Relatório da Partida,
21,sáb,2005-01-15,,Lens,0–1,Istres,,Stade Bollaert,Bruno Derrien,Relatório da Partida,
21,sáb,2005-01-15,,Paris S-G,0–0,Toulouse,,Parc des Princes,Philippe Malige,Relatório da Partida,
21,sáb,2005-01-15,,Lyon,2–0,Metz,,Stade Municipal de Gerland,Stéphane Moulin,Relatório da Partida,
21,sáb,2005-01-15,,Auxerre,2–0,Sochaux,,Stade Abbé Deschamps,Bertrand Layec,Relatório da Partida,
21,sáb,2005-01-15,,Ajaccio,1–0,Bastia,,Stade François Coty,Damien Ledentu,Relatório da Partida,
21,dom,2005-01-16,,Marseille,2–0,Nice,,Orange Vélodrome,Laurent Duhamel,Relatório da Partida,
,,,,,,,,,,,
22,sáb,2005-01-22,,Bastia,2–0,Nice,,Stade Armand Cesari,Éric Poulat,Relatório da Partida,
22,sáb,2005-01-22,,Metz,0–1,Marseille,,Stade Saint,Bruno Ruffray,Relatório da Partida,
22,sáb,2005-01-22,,Saint-Étienne,0–0,Paris S-G,,Stade Geoffroy,Stéphane Lannoy,Relatório da Partida,
22,sáb,2005-01-22,,Rennes,2–0,Ajaccio,,ROAZHON PARK,Pascal Viléo,Relatório da Partida,
22,sáb,2005-01-22,,Caen,0–2,Auxerre,,Stade Michel d'Ornano,Patrick Lhermite,Relatório da Partida,
22,sáb,2005-01-22,,Sochaux,4–0,Bordeaux,,Stade Bonal,Philippe Kalt,Relatório da Partida,
22,sáb,2005-01-22,,Istres,1–1,Strasbourg,,Stade des Costières,Bruno Coué,Relatório da Partida,
22,sáb,2005-01-22,,Monaco,2–0,Lens,,Stade Louis II,Olivier Thual,Relatório da Partida,
22,sáb,2005-01-22,,Toulouse,2–1,Nantes,,Stadium,Fredy Fautrel,Relatório da Partida,
22,dom,2005-01-23,,Lille,2–1,Lyon,,Stadium Lille Métropole,Gilles Veissière,Relatório da Partida,
,,,,,,,,,,,
23,ter,2005-01-25,,Marseille,0–2,Sochaux,,Orange Vélodrome,Pascal Garibian,Relatório da Partida,
23,qua,2005-01-26,,Nantes,0–0,Saint-Étienne,,Stade de la Beaujoire,Philippe Malige,Relatório da Partida,
23,qua,2005-01-26,,Nice,1–1,Lille,,Allianz Riviera,Bertrand Layec,Relatório da Partida,
23,qua,2005-01-26,,Lens,0–1,Caen,,Stade Bollaert,Alain Sars,Relatório da Partida,
23,qua,2005-01-26,,Paris S-G,2–2,Istres,,Parc des Princes,Dominique Fraise,Relatório da Partida,
23,qua,2005-01-26,,Ajaccio,1–0,Toulouse,,Stade François Coty,Claude Colombo,Relatório da Partida,
23,qua,2005-01-26,,Bordeaux,1–0,Metz,,Stade Chaban,Alain Hamer,Relatório da Partida,
23,qua,2005-01-26,,Lyon,2–1,Rennes,,Stade Municipal de Gerland,Stéphane Lannoy,Relatório da Partida,
23,qua,2005-01-26,,Auxerre,4–1,Bastia,,Stade Abbé Deschamps,Thierry Auriac,Relatório da Partida,
,,,,,,,,,,,
